CLUB_NBR,CLUB_NAME,MARKET_AREA_NBR,MARKET_AREA_NAME,REGION_NBR,REGION_NAME
8202,"SAVANNAH, GA",22,SOUTH CAROLINA / GA,7,SOUTHEAST
4942,"ELGIN, IL",32,WISCONSIN,11,NORTH CENTRAL
6350,"SHERMAN, TX",27,DALLAS,4,SOUTH CENTRAL
6487,"ADDISON, IL",17,CHICAGO,11,NORTH CENTRAL
6453,"AUSTIN (NW), TX",61,N. HOUSTON / AUSTIN,4,SOUTH CENTRAL
8151,PANAMA CITY FL,16,N. FL / S. GA,7,SOUTHEAST
4901,EASLEY SC,22,SOUTH CAROLINA / GA,7,SOUTHEAST
4731,"OK CITY(NW),OK",97,OK / N. TX,4,SOUTH CENTRAL
4974,"NORTH LAS VEGAS (NE), NV",41,NEVADA / N CALIFORNIA,9,WESTERN
8166,"DULUTH, GA",93,ATLANTA,7,SOUTHEAST
6188,AUSTIN LAKELINE TX,61,N. HOUSTON / AUSTIN,4,SOUTH CENTRAL
8155,"GAINESVILLE, FL",16,N. FL / S. GA,7,SOUTHEAST
6448,"NEW PORT RICHEY, FL",96,TAMPA,7,SOUTHEAST
6620,"FOLSOM, CA",41,NEVADA / N CALIFORNIA,9,WESTERN
6514,"WATERLOO, IA",34,CENTRAL IL / E. IA,11,NORTH CENTRAL
6407,"MANSFIELD, OH",31,CLEVELAND,1,NORTHEAST
6510,"MANKATO, MN",23,MINNESOTA,9,WESTERN
4859,"BUTLER, PA",24,PITTSBURGH / W. PA,1,NORTHEAST
8126,"BROWNSVILLE, TX",8,SAN ANTONIO/BORDER,4,SOUTH CENTRAL
8271,"JACKSON, MS",1,NEW ORLEANS / GULF COAST,4,SOUTH CENTRAL
4944,"GRAND BLANC, MI",45,MICHIGAN,11,NORTH CENTRAL
4843,PEARLAND TX,52,S. HOUSTON,4,SOUTH CENTRAL
6304,"INDIANAPOLIS, IN",38,INDIANA,11,NORTH CENTRAL
6683,"MURRAY, UT",98,UT / MT / ID,9,WESTERN
4768,"RENO, NV",41,NEVADA / N CALIFORNIA,9,WESTERN
6325,"GREENWOOD, IN",38,INDIANA,11,NORTH CENTRAL
6501,"MURFREESBORO, TN",28,TENNESSEE,7,SOUTHEAST
8263,"TULSA, OK",6,OK / W. AR,4,SOUTH CENTRAL
8107,"HUNTSVILLE, AL",90,MEMPHIS/AL,4,SOUTH CENTRAL
6505,JEFFERSON CITY MO,3,ST. LOUIS,11,NORTH CENTRAL
6621,"ROSEVILLE, CA",41,NEVADA / N CALIFORNIA,9,WESTERN
4704,"FRESNO, CA",55,LOS ANGELES/HAWAII,9,WESTERN
6650,"BALTIMORE, MD",85,MARYLAND,1,NORTHEAST
6471,"VICTORIA, TX",8,SAN ANTONIO/BORDER,4,SOUTH CENTRAL
8189,"CLARKSBURG, WV",24,PITTSBURGH / W. PA,1,NORTHEAST
4861,"ST PETERSBURG, FL",96,TAMPA,7,SOUTHEAST
8226,"ABILENE, TX",30,FT. WORTH,4,SOUTH CENTRAL
6633,"FT COLLINS, CO",94,BIG SKY / CO,9,WESTERN
4947,"ZANESVILLE, OH",81,WEST VIRGINIA/OHIO,1,NORTHEAST
6427,"ROCHESTER, MN",23,MINNESOTA,9,WESTERN
8153,"EL PASO, TX",47,W. TEXAS / NEW MEXICO,9,WESTERN
4829,GILBERT (E) AZ,37,AZ,9,WESTERN
8254,"WICHITA, KS",21,KANSAS CITY,11,NORTH CENTRAL
8210,"FORT WORTH, TX",30,FT. WORTH,4,SOUTH CENTRAL
6361,"FT. WALTON BEACH, FL",16,N. FL / S. GA,7,SOUTHEAST
6377,"JONESBORO, AR",90,MEMPHIS/AL,4,SOUTH CENTRAL
6383,"SALISBURY, MD",64,NEW JERSEY/EAST PENNSYLVANIA,1,NORTHEAST
6381,"LEWISVILLE, TX",27,DALLAS,4,SOUTH CENTRAL
8161,"YORK, PA",64,NEW JERSEY/EAST PENNSYLVANIA,1,NORTHEAST
8168,"INDIANAPOLIS,IN",38,INDIANA,11,NORTH CENTRAL
4955,"SURPRISE (SW), AZ",37,AZ,9,WESTERN
4874,COVINGTON LA,1,NEW ORLEANS / GULF COAST,4,SOUTH CENTRAL
6655,"WALDORF, MD",85,MARYLAND,1,NORTHEAST
8186,"SCARBOROUGH, ME",20,UPSTATE NEW YORK,1,NORTHEAST
4109,BOSSIER CITY LA,91,N. LA / TX,4,SOUTH CENTRAL
4820,"POOLER, GA",22,SOUTH CAROLINA / GA,7,SOUTHEAST
6572,"KNOXVILLE, TN",28,TENNESSEE,7,SOUTHEAST
8130,"FORT MYERS, FL",19,S. FLORIDA,7,SOUTHEAST
8162,"CEDAR RAPIDS,IA",34,CENTRAL IL / E. IA,11,NORTH CENTRAL
4994,MECHANICSBURG PA,64,NEW JERSEY/EAST PENNSYLVANIA,1,NORTHEAST
4764,"KATY (FRY), TX",52,S. HOUSTON,4,SOUTH CENTRAL
6220,"SLIDELL, LA",1,NEW ORLEANS / GULF COAST,4,SOUTH CENTRAL
6313,"FT. WAYNE, IN",38,INDIANA,11,NORTH CENTRAL
6269,HARLINGEN TX,8,SAN ANTONIO/BORDER,4,SOUTH CENTRAL
6255,"PLANO(N),TX",27,DALLAS,4,SOUTH CENTRAL
6612,"CONCORD, CA",41,NEVADA / N CALIFORNIA,9,WESTERN
6670,"DEPTFORD, NJ",64,NEW JERSEY/EAST PENNSYLVANIA,1,NORTHEAST
6622,"SACRAMENTO, CA",41,NEVADA / N CALIFORNIA,9,WESTERN
4908,"OWENSBORO, KY",49,CINCINNATI/KENTUCKY,1,NORTHEAST
8132,"CINCINNATI, OH",49,CINCINNATI/KENTUCKY,1,NORTHEAST
6643,CLAIRMONT GA,93,ATLANTA,7,SOUTHEAST
6424,"KOKOMO, IN",38,INDIANA,11,NORTH CENTRAL
6610,"CHINO, CA",54,LOS ANGELES / SAN DIEGO,9,WESTERN
4780,"BUFORD, GA",93,ATLANTA,7,SOUTHEAST
6363,"JACKSONVILLE (W), FL",16,N. FL / S. GA,7,SOUTHEAST
8116,"JACKSONVILLE,FL",16,N. FL / S. GA,7,SOUTHEAST
6672,"ALBUQUERQUE, NM",47,W. TEXAS / NEW MEXICO,9,WESTERN
4946,"ROCKY MOUNT, NC",11,NORTH CAROLINA/SOUTH CAROLINA,7,SOUTHEAST
8273,"SHREVEPORT, LA",91,N. LA / TX,4,SOUTH CENTRAL
6482,"DALLAS (E), TX",27,DALLAS,4,SOUTH CENTRAL
4710,"CHESAPEAKE, VA",33,VIRGINIA,1,NORTHEAST
6236,ROCK HILL SC,50,NORTH CAROLINA,7,SOUTHEAST
4805,"BILLINGS, MT",98,UT / MT / ID,9,WESTERN
8291,"FLINT, MI",45,MICHIGAN,11,NORTH CENTRAL
6353,"MYRTLE BEACH, SC",11,NORTH CAROLINA/SOUTH CAROLINA,7,SOUTHEAST
4774,"SECAUCUS, NJ",15,NJ / PA / NY,1,NORTHEAST
6404,"FAIRLAWN, OH",31,CLEVELAND,1,NORTHEAST
4870,KANSAS CITY KS,21,KANSAS CITY,11,NORTH CENTRAL
8241,"MIDWEST CITY, OK",97,OK / N. TX,4,SOUTH CENTRAL
4824,"SANTA CLARITA, CA",55,LOS ANGELES/HAWAII,9,WESTERN
8238,"DAVENPORT, IA",34,CENTRAL IL / E. IA,11,NORTH CENTRAL
8134,"FT. SMITH, AR",6,OK / W. AR,4,SOUTH CENTRAL
6682,"LAYTON, UT",98,UT / MT / ID,9,WESTERN
