CLUB_NBR,CLUB_NAME,MARKET_AREA_NBR,MARKET_AREA_NAME,REGION_NBR,REGION_NAME
4962,"SANDUSKY, OH",31,CLEVELAND,1,NORTHEAST
4729,"STERLING, VA",85,MARYLAND,1,NORTHEAST
8220,"ROANOKE, VA",33,VIRGINIA,1,NORTHEAST
8180,"MARION, IL",3,ST. LOUIS,11,NORTH CENTRAL
4736,"APPLE VALLEY, MN",23,MINNESOTA,9,WESTERN
6423,"MIDDLETOWN, NY",15,NJ / PA / NY,1,NORTHEAST
4797,KANNAPOLIS NC,50,NORTH CAROLINA,7,SOUTHEAST
4777,"DENVER, CO",56,CO,9,WESTERN
4745,"THORNTON, CO",56,CO,9,WESTERN
6334,"DECATUR, IL",34,CENTRAL IL / E. IA,11,NORTH CENTRAL
8114,"LAFAYETTE, LA",91,N. LA / TX,4,SOUTH CENTRAL
6678,"PITTSBURGH, PA",24,PITTSBURGH / W. PA,1,NORTHEAST
8181,"ALEXANDRIA, LA",91,N. LA / TX,4,SOUTH CENTRAL
4718,"SOUTH JORDAN, UT",98,UT / MT / ID,9,WESTERN
8207,"KANSAS CITY, MO",21,KANSAS CITY,11,NORTH CENTRAL
6216,"WINTERVILLE, NC",11,NORTH CAROLINA/SOUTH CAROLINA,7,SOUTHEAST
6406,"NIAGARA FALLS, NY",20,UPSTATE NEW YORK,1,NORTHEAST
6344,"WINDSOR HEIGHTS, IA",39,NE / IA,11,NORTH CENTRAL
4855,"HANOVER, PA",64,NEW JERSEY/EAST PENNSYLVANIA,1,NORTHEAST
6565,"RAPID CITY, SD",94,BIG SKY / CO,9,WESTERN
4846,"MENTOR, OH",31,CLEVELAND,1,NORTHEAST
4939,"SAN ANTONIO (BROOKS), TX",8,SAN ANTONIO/BORDER,4,SOUTH CENTRAL
6624,"SAN BERNARDINO, CA",54,LOS ANGELES / SAN DIEGO,9,WESTERN
6357,"ANNAPOLIS, MD",85,MARYLAND,1,NORTHEAST
6979,DES MOINES ANKENY IA,39,NE / IA,11,NORTH CENTRAL
6408,"SANTA FE, NM",47,W. TEXAS / NEW MEXICO,9,WESTERN
6664,"UTICA, MI",62,DETROIT,11,NORTH CENTRAL
6485,"TINLEY PARK, IL",17,CHICAGO,11,NORTH CENTRAL
4860,"BECKLEY, WV",81,WEST VIRGINIA/OHIO,1,NORTHEAST
4767,"PALMDALE, CA",55,LOS ANGELES/HAWAII,9,WESTERN
4722,"WILLIAMSTOWN, NJ",64,NEW JERSEY/EAST PENNSYLVANIA,1,NORTHEAST
6333,"BANGOR, ME",20,UPSTATE NEW YORK,1,NORTHEAST
4879,AIKEN SC,22,SOUTH CAROLINA / GA,7,SOUTHEAST
8183,"SAINT CLOUD, MN",23,MINNESOTA,9,WESTERN
6632,"DENVER, CO",56,CO,9,WESTERN
6348,"PINEVILLE, NC",50,NORTH CAROLINA,7,SOUTHEAST
6218,"OCOEE, FL",7,ORLANDO,7,SOUTHEAST
4875,WENTZVILLE MO,3,ST. LOUIS,11,NORTH CENTRAL
6634,"LONE TREE, CO",56,CO,9,WESTERN
8222,"JOHNSON CITY, TN",28,TENNESSEE,7,SOUTHEAST
6684,"RIVERDALE, UT",98,UT / MT / ID,9,WESTERN
6628,"TORRANCE, CA",55,LOS ANGELES/HAWAII,9,WESTERN
6562,"MUSKEGON, MI",45,MICHIGAN,11,NORTH CENTRAL
6426,"SALINA, KS",21,KANSAS CITY,11,NORTH CENTRAL
6613,"LONG BEACH, CA",55,LOS ANGELES/HAWAII,9,WESTERN
8208,"LENEXA, KS",21,KANSAS CITY,11,NORTH CENTRAL
8248,"DALLAS (W), TX",27,DALLAS,4,SOUTH CENTRAL
6479,"CAPE GIRARDEAU, MO",3,ST. LOUIS,11,NORTH CENTRAL
6517,"BEAVERCREEK, OH",81,WEST VIRGINIA/OHIO,1,NORTHEAST
4818,"BROOKSVILLE, FL",96,TAMPA,7,SOUTHEAST
8262,"SAN ANTONIO (N), TX",8,SAN ANTONIO/BORDER,4,SOUTH CENTRAL
8287,"MORROW, GA",2,AL / GA,7,SOUTHEAST
6252,"CHESTERFIELD, MO",3,ST. LOUIS,11,NORTH CENTRAL
4776,"HUNTSVILLE, AL",90,MEMPHIS/AL,4,SOUTH CENTRAL
6615,"FOUNTAIN VALLEY, CA",54,LOS ANGELES / SAN DIEGO,9,WESTERN
8156,"LAREDO, TX",8,SAN ANTONIO/BORDER,4,SOUTH CENTRAL
6605,"GILBERT, AZ",37,AZ,9,WESTERN
6360,"GRAND JUNCTION, CO",56,CO,9,WESTERN
6663,"SAGINAW, MI",45,MICHIGAN,11,NORTH CENTRAL
4798,"WINSTON-SALEM, NC",50,NORTH CAROLINA,7,SOUTHEAST
4915,BULLHEAD CITY AZ,37,AZ,9,WESTERN
4873,LINCOLN NE,39,NE / IA,11,NORTH CENTRAL
6327,"WARREN,OH",31,CLEVELAND,1,NORTHEAST
6367,"HUMBLE, TX",61,N. HOUSTON / AUSTIN,4,SOUTH CENTRAL
6512,"CLARKSVILLE, TN",28,TENNESSEE,7,SOUTHEAST
6450,"CINCINNATI, OH",49,CINCINNATI/KENTUCKY,1,NORTHEAST
8215,"SPRINGFIELD, IL",34,CENTRAL IL / E. IA,11,NORTH CENTRAL
8177,"LAS VEGAS, NV",41,NEVADA / N CALIFORNIA,9,WESTERN
8252,"N CHARLESTON,SC",22,SOUTH CAROLINA / GA,7,SOUTHEAST
8144,"PLEASANTVILLE, NJ",64,NEW JERSEY/EAST PENNSYLVANIA,1,NORTHEAST
7658,BRUNSWICK GA,16,N. FL / S. GA,7,SOUTHEAST
